requestSessionType,requestJudgeType
CJ,PUBLAW
CJ,S9APPTC
CJ,S9APPTQ
CJ,S9CHC
CS,AC
CS,ADM
CS,ANCRA
CS,CHC
CS,CHCBCC
CS,CIVATH
CS,COMM
CS,COMP
CS,CTOP
CS,DJCC
CS,FINRMA
CS,FROCC
CS,MERCH
CS,PATENT
CS,PLAN
CS,PRVLAW
CS,PUBLAW
CS,S9APPTC
CS,S9APPTQ
CS,S9CHC
DS,AC
DS,ADM
DS,ANCRA
DS,CHC
DS,CHCBCC
DS,CIVATH
DS,COMM
DS,COMP
DS,CTOP
DS,DJCC
DS,FINRMA
DS,FROCC
DS,MERCH
DS,PATENT
DS,PLAN
DS,PRVLAW
DS,PUBLAW
DS,S9APPTC
DS,S9APPTQ
DS,S9CHC
EA,AC
EA,ADM
EA,ANCRA
EA,CHC
EA,CHCBCC
EA,CIVATH
EA,COMM
EA,COMP
EA,CTOP
EA,DJCC
EA,FINRMA
EA,FROCC
EA,MERCH
EA,PATENT
EA,PLAN
EA,PRVLAW
EA,PUBLAW
EA,S9APPTC
EA,S9APPTQ
EA,S9CHC
F,AC
F,ADM
F,ANCRA
F,CHC
F,CHCBCC
F,CIVATH
F,COMM
F,COMP
F,CTOP
F,DJCC
F,FINRMA
F,FROCC
F,MERCH
F,PATENT
F,PLAN
F,PRVLAW
F,PUBLAW
F,S9APPTC
F,S9APPTQ
F,S9CHC
FHC,AC
FHC,ADM
FHC,ANCRA
FHC,CHC
FHC,CHCBCC
FHC,CIVATH
FHC,COMM
FHC,COMP
FHC,CTOP
FHC,DJCC
FHC,FINRMA
FHC,FROCC
FHC,MERCH
FHC,PATENT
FHC,PLAN
FHC,PRVLAW
FHC,PUBLAW
FHC,S9APPTC
FHC,S9APPTQ
FHC,S9CHC
FHDRA,AC
FHDRA,ADM
FHDRA,ANCRA
FHDRA,CHC
FHDRA,CHCBCC
FHDRA,CIVATH
FHDRA,COMM
FHDRA,COMP
FHDRA,CTOP
FHDRA,DJCC
FHDRA,FINRMA
FHDRA,FROCC
FHDRA,MERCH
FHDRA,PATENT
FHDRA,PLAN
FHDRA,PRVLAW
FHDRA,PUBLAW
FHDRA,S9APPTC
FHDRA,S9APPTQ
FHDRA,S9CHC
FRC,AC
FRC,ADM
FRC,ANCRA
FRC,CHC
FRC,CHCBCC
FRC,CIVATH
FRC,COMM
FRC,COMP
FRC,CTOP
FRC,DJCC
FRC,FINRMA
FRC,FROCC
FRC,MERCH
FRC,PATENT
FRC,PLAN
FRC,PRVLAW
FRC,PUBLAW
FRC,S9APPTC
FRC,S9APPTQ
FRC,S9CHC
FS,AC
FS,ADM
FS,ANCRA
FS,CHC
FS,CHCBCC
FS,CIVATH
FS,COMM
FS,COMP
FS,CTOP
FS,DJCC
FS,FINRMA
FS,FROCC
FS,MERCH
FS,PATENT
FS,PLAN
FS,PRVLAW
FS,PUBLAW
FS,S9APPTC
FS,S9APPTQ
FS,S9CHC
FT,AC
FT,ADM
FT,ANCRA
FT,CHC
FT,CHCBCC
FT,CIVATH
FT,COMM
FT,COMP
FT,CTOP
FT,DJCC
FT,FINRMA
FT,FROCC
FT,MERCH
FT,PATENT
FT,PLAN
FT,PRVLAW
FT,PUBLAW
FT,S9APPTC
FT,S9APPTQ
FT,S9CHC
IRH/CMH,AC
IRH/CMH,ADM
IRH/CMH,ANCRA
IRH/CMH,CHC
IRH/CMH,CHCBCC
IRH/CMH,CIVATH
IRH/CMH,COMM
IRH/CMH,COMP
IRH/CMH,CTOP
IRH/CMH,DJCC
IRH/CMH,FINRMA
IRH/CMH,FROCC
IRH/CMH,MERCH
IRH/CMH,PATENT
IRH/CMH,PLAN
IRH/CMH,PRVLAW
IRH/CMH,PUBLAW
IRH/CMH,S9APPTC
IRH/CMH,S9APPTQ
IRH/CMH,S9CHC
MDP/D,AC
MDP/D,ADM
MDP/D,ANCRA
MDP/D,CHC
MDP/D,CHCBCC
MDP/D,CIVATH
MDP/D,COMM
MDP/D,COMP
MDP/D,CTOP
MDP/D,DJCC
MDP/D,FINRMA
MDP/D,FROCC
MDP/D,MERCH
MDP/D,PATENT
MDP/D,PLAN
MDP/D,PRVLAW
MDP/D,PUBLAW
MDP/D,S9APPTC
MDP/D,S9APPTQ
MDP/D,S9CHC
MULTI,AC
MULTI,ADM
MULTI,ANCRA
MULTI,CHC
MULTI,CHCBCC
MULTI,CIVATH
MULTI,COMM
MULTI,COMP
MULTI,CTOP
MULTI,DJCC
MULTI,FINRMA
MULTI,FROCC
MULTI,MERCH
MULTI,PATENT
MULTI,PLAN
MULTI,PRVLAW
MULTI,PUBLAW
MULTI,S9APPTC
MULTI,S9APPTQ
MULTI,S9CHC
PCOL,AC
PCOL,ADM
PCOL,ANCRA
PCOL,CHC
PCOL,CHCBCC
PCOL,CIVATH
PCOL,COMM
PCOL,COMP
PCOL,CTOP
PCOL,DJCC
PCOL,FINRMA
PCOL,FROCC
PCOL,MERCH
PCOL,PATENT
PCOL,PLAN
PCOL,PRVLAW
PCOL,PUBLAW
PCOL,S9APPTC
PCOL,S9APPTQ
PCOL,S9CHC
